tenure,Tenure_Group,MonthlyCharges,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,TechSupport,Service_Engagement,Contract,Churn
67,Loyal(3yr+),109.9,0,Fiber optic,Credit card (automatic),No,No,5,One year,0
7,New(0-1yr),35.5,0,DSL,Credit card (automatic),Yes,Yes,2,One year,0
51,Loyal(3yr+),87.55,0,Fiber optic,Credit card (automatic),No,No,2,One year,0
9,New(0-1yr),45.15,0,DSL,Electronic check,No,No,0,Month-to-month,1
9,New(0-1yr),88.4,0,Fiber optic,Mailed check,Yes,No,2,Month-to-month,0
4,New(0-1yr),50.8,0,DSL,Mailed check,Yes,Yes,1,Month-to-month,0
71,Loyal(3yr+),99.0,0,Fiber optic,Electronic check,Yes,No,4,Two year,0
50,Loyal(3yr+),84.4,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,1
24,Standard(1-3yr),96.55,1,Fiber optic,Electronic check,Yes,No,3,Two year,0
22,Standard(1-3yr),59.75,0,DSL,Bank transfer (automatic),Yes,No,2,One year,0
44,Loyal(3yr+),111.5,0,Fiber optic,Electronic check,Yes,No,5,Month-to-month,0
33,Standard(1-3yr),24.25,0,No,Bank transfer (automatic),No,No internet service,0,Month-to-month,0
1,New(0-1yr),75.1,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
54,Loyal(3yr+),70.15,0,DSL,Credit card (automatic),Yes,No,2,One year,1
42,Loyal(3yr+),101.75,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),45.8,0,DSL,Electronic check,No,No,0,Month-to-month,1
1,New(0-1yr),20.5,0,No,Mailed check,No,No internet service,0,Month-to-month,0
30,Standard(1-3yr),70.4,0,DSL,Electronic check,No,Yes,4,One year,0
1,New(0-1yr),30.55,0,DSL,Mailed check,No,Yes,1,Month-to-month,0
16,Standard(1-3yr),84.9,0,DSL,Electronic check,No,Yes,5,Month-to-month,0
1,New(0-1yr),20.1,0,No,Mailed check,Yes,No internet service,0,Month-to-month,1
9,New(0-1yr),40.65,0,DSL,Mailed check,No,Yes,2,Month-to-month,1
46,Loyal(3yr+),101.0,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),69.1,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
71,Loyal(3yr+),54.5,0,DSL,Bank transfer (automatic),No,Yes,2,Two year,0
43,Loyal(3yr+),75.35,0,Fiber optic,Credit card (automatic),Yes,No,0,Month-to-month,0
50,Loyal(3yr+),44.45,0,DSL,Bank transfer (automatic),Yes,Yes,3,One year,0
13,Standard(1-3yr),75.0,0,Fiber optic,Mailed check,Yes,No,0,Month-to-month,1
19,Standard(1-3yr),100.0,0,Fiber optic,Bank transfer (automatic),No,Yes,4,One year,1
41,Loyal(3yr+),98.05,0,Fiber optic,Bank transfer (automatic),No,No,3,Month-to-month,0
1,New(0-1yr),71.15,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
24,Standard(1-3yr),54.15,0,DSL,Credit card (automatic),Yes,No,4,Month-to-month,1
40,Loyal(3yr+),63.9,0,DSL,Bank transfer (automatic),No,No,2,One year,0
3,New(0-1yr),69.15,0,DSL,Bank transfer (automatic),Yes,No,3,Month-to-month,0
37,Loyal(3yr+),64.65,0,DSL,Bank transfer (automatic),No,No,2,One year,0
67,Loyal(3yr+),108.75,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,1
32,Standard(1-3yr),98.85,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
6,New(0-1yr),49.15,0,DSL,Electronic check,Yes,Yes,1,Month-to-month,1
32,Standard(1-3yr),89.6,0,Fiber optic,Electronic check,No,No,2,Month-to-month,0
59,Loyal(3yr+),83.25,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
30,Standard(1-3yr),70.25,0,DSL,Bank transfer (automatic),No,Yes,4,One year,0
20,Standard(1-3yr),19.4,0,No,Electronic check,Yes,No internet service,0,Month-to-month,1
27,Standard(1-3yr),24.5,0,No,Electronic check,No,No internet service,0,Two year,0
20,Standard(1-3yr),79.15,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
9,New(0-1yr),20.1,0,No,Mailed check,No,No internet service,0,One year,0
68,Loyal(3yr+),73.0,0,DSL,Credit card (automatic),Yes,No,4,One year,0
69,Loyal(3yr+),61.4,0,DSL,Credit card (automatic),No,Yes,2,Two year,0
26,Standard(1-3yr),84.3,0,Fiber optic,Mailed check,Yes,Yes,2,Month-to-month,0
69,Loyal(3yr+),19.9,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
11,New(0-1yr),20.4,0,No,Mailed check,No,No internet service,0,Two year,0
1,New(0-1yr),50.75,0,DSL,Mailed check,No,No,0,Month-to-month,0
10,New(0-1yr),20.45,0,No,Mailed check,No,No internet service,0,One year,0
55,Loyal(3yr+),75.75,0,DSL,Bank transfer (automatic),Yes,Yes,4,One year,0
44,Loyal(3yr+),65.4,0,DSL,Electronic check,No,Yes,3,One year,0
46,Loyal(3yr+),80.4,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
69,Loyal(3yr+),59.75,0,DSL,Bank transfer (automatic),Yes,No,3,Two year,0
11,New(0-1yr),78.5,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
11,New(0-1yr),102.0,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
29,Standard(1-3yr),48.95,0,DSL,Bank transfer (automatic),No,No,1,Month-to-month,0
57,Loyal(3yr+),99.65,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
28,Standard(1-3yr),18.25,0,No,Credit card (automatic),No,No internet service,0,One year,0
42,Loyal(3yr+),54.55,0,DSL,Credit card (automatic),No,No,2,Month-to-month,0
2,New(0-1yr),20.65,0,No,Mailed check,No,No internet service,0,Month-to-month,1
23,Standard(1-3yr),40.65,0,DSL,Bank transfer (automatic),No,Yes,3,One year,0
18,Standard(1-3yr),20.45,0,No,Mailed check,No,No internet service,0,Month-to-month,0
62,Loyal(3yr+),24.8,0,No,Bank transfer (automatic),No,No internet service,0,One year,0
1,New(0-1yr),70.8,0,Fiber optic,Mailed check,Yes,No,0,Month-to-month,1
16,Standard(1-3yr),89.05,0,Fiber optic,Credit card (automatic),Yes,Yes,2,Month-to-month,1
3,New(0-1yr),96.6,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
67,Loyal(3yr+),88.8,0,DSL,Bank transfer (automatic),Yes,Yes,6,One year,0
62,Loyal(3yr+),20.05,0,No,Credit card (automatic),Yes,No internet service,0,Two year,0
57,Loyal(3yr+),104.5,0,Fiber optic,Credit card (automatic),Yes,No,4,Month-to-month,1
2,New(0-1yr),69.8,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
23,Standard(1-3yr),77.15,0,DSL,Bank transfer (automatic),Yes,Yes,4,Two year,0
25,Standard(1-3yr),35.05,0,DSL,Bank transfer (automatic),No,Yes,2,Two year,0
72,Loyal(3yr+),108.1,1,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Two year,0
2,New(0-1yr),84.05,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
8,New(0-1yr),20.2,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
5,New(0-1yr),50.6,0,DSL,Mailed check,Yes,No,0,Month-to-month,1
35,Standard(1-3yr),49.2,0,DSL,Electronic check,No,No,3,Month-to-month,0
24,Standard(1-3yr),24.6,0,No,Electronic check,No,No internet service,0,One year,0
2,New(0-1yr),71.65,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
72,Loyal(3yr+),104.9,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,0
41,Loyal(3yr+),106.5,0,Fiber optic,Electronic check,Yes,Yes,5,Month-to-month,0
4,New(0-1yr),49.35,0,DSL,Electronic check,No,No,1,Month-to-month,1
26,Standard(1-3yr),75.5,0,Fiber optic,Bank transfer (automatic),No,No,1,One year,0
7,New(0-1yr),94.25,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),68.95,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
4,New(0-1yr),58.5,0,DSL,Mailed check,Yes,Yes,2,Month-to-month,0
48,Loyal(3yr+),78.9,0,DSL,Credit card (automatic),No,Yes,5,Two year,0
2,New(0-1yr),93.85,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
12,New(0-1yr),79.2,1,DSL,Electronic check,Yes,Yes,5,One year,0
60,Loyal(3yr+),109.45,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Month-to-month,0
55,Loyal(3yr+),59.2,0,DSL,Electronic check,Yes,Yes,3,Two year,0
1,New(0-1yr),29.15,0,DSL,Mailed check,No,Yes,1,Month-to-month,0
1,New(0-1yr),20.05,0,No,Mailed check,No,No internet service,0,Month-to-month,0
4,New(0-1yr),76.05,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
1,New(0-1yr),24.45,0,DSL,Mailed check,Yes,No,0,Month-to-month,1
42,Loyal(3yr+),66.5,0,DSL,Credit card (automatic),No,Yes,3,Two year,0
1,New(0-1yr),49.55,0,DSL,Bank transfer (automatic),No,No,1,Month-to-month,0
7,New(0-1yr),89.35,0,Fiber optic,Credit card (automatic),Yes,No,2,Month-to-month,1
3,New(0-1yr),73.6,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
72,Loyal(3yr+),82.65,0,DSL,Credit card (automatic),Yes,No,5,Two year,0
15,Standard(1-3yr),49.0,0,DSL,Electronic check,Yes,No,0,Month-to-month,0
4,New(0-1yr),80.35,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
11,New(0-1yr),25.2,0,No,Electronic check,No,No internet service,0,One year,0
5,New(0-1yr),25.45,0,No,Mailed check,No,No internet service,0,Month-to-month,0
1,New(0-1yr),55.8,1,DSL,Electronic check,Yes,No,2,Month-to-month,1
72,Loyal(3yr+),110.9,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,0
55,Loyal(3yr+),77.75,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
40,Loyal(3yr+),26.2,0,No,Electronic check,Yes,No internet service,0,Month-to-month,0
57,Loyal(3yr+),19.9,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
1,New(0-1yr),79.05,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
1,New(0-1yr),95.0,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),25.2,0,DSL,Mailed check,No,No,0,Month-to-month,1
52,Loyal(3yr+),80.85,1,DSL,Electronic check,Yes,No,4,One year,0
41,Loyal(3yr+),98.4,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
43,Loyal(3yr+),56.35,0,DSL,Mailed check,Yes,No,1,One year,0
47,Loyal(3yr+),19.3,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
3,New(0-1yr),50.4,0,DSL,Bank transfer (automatic),No,No,0,Month-to-month,0
66,Loyal(3yr+),79.4,1,DSL,Credit card (automatic),No,Yes,5,Two year,1
55,Loyal(3yr+),55.25,0,DSL,Credit card (automatic),Yes,Yes,2,Two year,0
29,Standard(1-3yr),19.1,0,No,Mailed check,No,No internet service,0,One year,0
12,New(0-1yr),84.05,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
66,Loyal(3yr+),105.2,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,0
35,Standard(1-3yr),101.4,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
10,New(0-1yr),89.8,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
27,Standard(1-3yr),75.75,0,Fiber optic,Bank transfer (automatic),Yes,No,0,Month-to-month,0
58,Loyal(3yr+),95.3,0,Fiber optic,Electronic check,Yes,Yes,3,Month-to-month,0
54,Loyal(3yr+),109.75,0,Fiber optic,Bank transfer (automatic),No,Yes,6,Two year,1
9,New(0-1yr),19.85,0,No,Mailed check,No,No internet service,0,Month-to-month,0
2,New(0-1yr),19.3,0,No,Credit card (automatic),No,No internet service,0,One year,1
6,New(0-1yr),69.1,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
26,Standard(1-3yr),91.25,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
9,New(0-1yr),20.25,0,No,Mailed check,No,No internet service,0,Month-to-month,0
8,New(0-1yr),54.75,0,DSL,Mailed check,Yes,No,2,Month-to-month,0
12,New(0-1yr),81.45,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
15,Standard(1-3yr),49.1,0,DSL,Electronic check,Yes,No,0,Month-to-month,1
43,Loyal(3yr+),80.2,0,DSL,Electronic check,Yes,No,4,One year,0
42,Loyal(3yr+),100.3,0,Fiber optic,Electronic check,Yes,Yes,3,Month-to-month,0
31,Standard(1-3yr),65.25,0,DSL,Credit card (automatic),No,Yes,3,Month-to-month,1
66,Loyal(3yr+),90.95,0,Fiber optic,Credit card (automatic),Yes,Yes,3,Two year,0
18,Standard(1-3yr),85.45,1,Fiber optic,Electronic check,Yes,Yes,2,Month-to-month,1
1,New(0-1yr),20.0,0,No,Mailed check,No,No internet service,0,Month-to-month,0
61,Loyal(3yr+),94.1,0,Fiber optic,Electronic check,Yes,Yes,3,Two year,1
10,New(0-1yr),79.85,0,Fiber optic,Electronic check,No,No,1,Month-to-month,0
1,New(0-1yr),71.65,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
18,Standard(1-3yr),73.55,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
24,Standard(1-3yr),104.65,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
3,New(0-1yr),19.3,0,No,Mailed check,No,No internet service,0,Month-to-month,0
50,Loyal(3yr+),20.15,0,No,Credit card (automatic),No,No internet service,0,One year,0
1,New(0-1yr),44.55,0,DSL,Electronic check,No,No,0,Month-to-month,0
2,New(0-1yr),54.45,0,DSL,Mailed check,Yes,Yes,2,Month-to-month,0
17,Standard(1-3yr),19.65,0,No,Bank transfer (automatic),Yes,No internet service,0,One year,0
69,Loyal(3yr+),105.0,0,Fiber optic,Electronic check,Yes,No,4,Two year,0
72,Loyal(3yr+),88.7,0,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
3,New(0-1yr),74.25,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
50,Loyal(3yr+),75.15,1,DSL,Bank transfer (automatic),Yes,No,4,Two year,0
53,Loyal(3yr+),20.25,0,No,Mailed check,No,No internet service,0,Two year,0
58,Loyal(3yr+),109.1,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,0
46,Loyal(3yr+),30.75,0,DSL,Bank transfer (automatic),Yes,No,1,One year,0
72,Loyal(3yr+),112.9,1,Fiber optic,Credit card (automatic),Yes,Yes,6,Month-to-month,0
1,New(0-1yr),74.2,1,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
6,New(0-1yr),94.05,0,Fiber optic,Mailed check,Yes,No,3,Month-to-month,0
72,Loyal(3yr+),78.85,0,DSL,Bank transfer (automatic),No,Yes,5,Two year,0
4,New(0-1yr),55.3,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
52,Loyal(3yr+),19.35,0,No,Mailed check,No,No internet service,0,Two year,0
2,New(0-1yr),20.45,0,No,Mailed check,No,No internet service,0,One year,0
65,Loyal(3yr+),19.35,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
43,Loyal(3yr+),101.0,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
4,New(0-1yr),100.2,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
25,Standard(1-3yr),89.05,1,Fiber optic,Electronic check,Yes,No,2,One year,1
51,Loyal(3yr+),78.65,0,DSL,Credit card (automatic),Yes,Yes,4,One year,0
12,New(0-1yr),74.75,0,DSL,Bank transfer (automatic),No,No,3,Month-to-month,0
57,Loyal(3yr+),70.1,0,DSL,Bank transfer (automatic),Yes,No,3,One year,1
24,Standard(1-3yr),19.9,0,No,Mailed check,No,No internet service,0,One year,0
64,Loyal(3yr+),58.35,0,DSL,Bank transfer (automatic),No,Yes,2,One year,0
4,New(0-1yr),105.65,0,Fiber optic,Electronic check,Yes,Yes,5,One year,1
26,Standard(1-3yr),100.5,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,0
15,Standard(1-3yr),20.05,0,No,Mailed check,No,No internet service,0,Month-to-month,0
64,Loyal(3yr+),25.65,1,No,Credit card (automatic),No,No internet service,0,Two year,0
36,Standard(1-3yr),96.5,1,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
27,Standard(1-3yr),95.0,0,Fiber optic,Credit card (automatic),No,No,2,Month-to-month,0
1,New(0-1yr),70.85,1,Fiber optic,Mailed check,No,No,0,Month-to-month,1
35,Standard(1-3yr),85.95,0,DSL,Credit card (automatic),Yes,Yes,5,One year,1
4,New(0-1yr),73.9,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
8,New(0-1yr),45.45,0,DSL,Electronic check,Yes,No,0,Month-to-month,0
10,New(0-1yr),20.0,0,No,Credit card (automatic),Yes,No internet service,0,Month-to-month,0
2,New(0-1yr),49.2,0,DSL,Mailed check,No,No,1,Month-to-month,0
58,Loyal(3yr+),109.45,0,Fiber optic,Bank transfer (automatic),Yes,No,5,Two year,1
51,Loyal(3yr+),83.25,0,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
46,Loyal(3yr+),19.25,0,No,Mailed check,Yes,No internet service,0,Two year,0
1,New(0-1yr),19.65,0,No,Bank transfer (automatic),Yes,No internet service,0,Month-to-month,0
46,Loyal(3yr+),72.8,0,Fiber optic,Bank transfer (automatic),No,No,0,Month-to-month,0
50,Loyal(3yr+),109.65,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Month-to-month,0
53,Loyal(3yr+),65.0,0,DSL,Credit card (automatic),No,Yes,3,Month-to-month,0
61,Loyal(3yr+),114.1,0,Fiber optic,Electronic check,Yes,Yes,5,Month-to-month,0
5,New(0-1yr),20.65,0,No,Bank transfer (automatic),No,No internet service,0,Month-to-month,0
47,Loyal(3yr+),86.95,0,DSL,Bank transfer (automatic),Yes,Yes,6,One year,0
54,Loyal(3yr+),94.75,0,Fiber optic,Bank transfer (automatic),Yes,No,3,One year,0
19,Standard(1-3yr),25.35,0,DSL,Credit card (automatic),Yes,No,0,Month-to-month,0
26,Standard(1-3yr),105.45,0,Fiber optic,Electronic check,Yes,Yes,5,Two year,0
70,Loyal(3yr+),25.4,0,No,Mailed check,No,No internet service,0,Two year,0
17,Standard(1-3yr),102.55,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,0
30,Standard(1-3yr),100.2,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),24.0,0,No,Mailed check,No,No internet service,0,Month-to-month,0
19,Standard(1-3yr),25.6,0,No,Mailed check,No,No internet service,0,Two year,0
26,Standard(1-3yr),73.5,0,DSL,Credit card (automatic),Yes,No,4,Two year,0
21,Standard(1-3yr),74.05,0,Fiber optic,Bank transfer (automatic),Yes,No,1,Month-to-month,1
50,Loyal(3yr+),98.25,0,Fiber optic,Electronic check,Yes,No,3,One year,0
68,Loyal(3yr+),54.4,0,DSL,Electronic check,Yes,No,4,One year,0
3,New(0-1yr),101.55,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,1
9,New(0-1yr),103.1,0,Fiber optic,Electronic check,No,Yes,4,Month-to-month,0
51,Loyal(3yr+),34.2,0,DSL,Bank transfer (automatic),No,Yes,2,Two year,0
9,New(0-1yr),43.75,0,DSL,Electronic check,Yes,No,0,Month-to-month,0
41,Loyal(3yr+),111.95,1,Fiber optic,Electronic check,Yes,Yes,5,One year,1
22,Standard(1-3yr),100.65,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
21,Standard(1-3yr),55.95,0,DSL,Electronic check,Yes,No,4,One year,1
71,Loyal(3yr+),116.05,0,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
1,New(0-1yr),45.75,0,DSL,Electronic check,No,No,0,Month-to-month,1
26,Standard(1-3yr),82.0,0,DSL,Credit card (automatic),Yes,Yes,4,One year,0
71,Loyal(3yr+),65.15,0,DSL,Bank transfer (automatic),No,Yes,3,Two year,0
4,New(0-1yr),44.8,0,DSL,Credit card (automatic),Yes,No,0,Month-to-month,0
12,New(0-1yr),79.8,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
18,Standard(1-3yr),88.85,0,Fiber optic,Electronic check,Yes,Yes,2,Month-to-month,0
3,New(0-1yr),74.95,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,0
72,Loyal(3yr+),106.85,1,Fiber optic,Bank transfer (automatic),Yes,No,4,One year,0
11,New(0-1yr),74.95,0,Fiber optic,Electronic check,No,No,1,Month-to-month,1
1,New(0-1yr),80.15,0,Fiber optic,Credit card (automatic),No,No,1,Month-to-month,1
13,Standard(1-3yr),19.3,0,No,Credit card (automatic),No,No internet service,0,One year,0
72,Loyal(3yr+),109.25,0,Fiber optic,Electronic check,Yes,Yes,5,One year,1
42,Loyal(3yr+),56.1,0,DSL,Credit card (automatic),No,No,1,One year,0
17,Standard(1-3yr),19.7,0,No,Credit card (automatic),No,No internet service,0,Month-to-month,0
7,New(0-1yr),51.3,1,DSL,Mailed check,Yes,No,1,Month-to-month,0
68,Loyal(3yr+),118.6,0,Fiber optic,Mailed check,No,Yes,6,Two year,0
56,Loyal(3yr+),24.15,0,No,Bank transfer (automatic),No,No internet service,0,Two year,0
38,Loyal(3yr+),20.3,0,No,Mailed check,No,No internet service,0,One year,0
72,Loyal(3yr+),115.5,0,Fiber optic,Electronic check,Yes,Yes,6,Two year,0
48,Loyal(3yr+),25.05,0,No,Credit card (automatic),No,No internet service,0,One year,0
52,Loyal(3yr+),109.1,1,Fiber optic,Electronic check,Yes,No,5,Month-to-month,0
35,Standard(1-3yr),19.65,0,No,Mailed check,No,No internet service,0,One year,0
67,Loyal(3yr+),111.3,0,Fiber optic,Bank transfer (automatic),Yes,Yes,5,Two year,0
1,New(0-1yr),29.9,0,DSL,Mailed check,No,No,1,Month-to-month,0
53,Loyal(3yr+),80.6,0,Fiber optic,Mailed check,Yes,Yes,2,Month-to-month,0
34,Standard(1-3yr),20.8,0,No,Mailed check,No,No internet service,0,Month-to-month,0
3,New(0-1yr),35.2,0,DSL,Credit card (automatic),No,No,1,Month-to-month,1
1,New(0-1yr),78.8,0,Fiber optic,Electronic check,No,No,1,Month-to-month,1
19,Standard(1-3yr),89.95,0,Fiber optic,Mailed check,No,Yes,3,Month-to-month,0
60,Loyal(3yr+),116.05,1,Fiber optic,Bank transfer (automatic),Yes,Yes,6,Two year,0
11,New(0-1yr),19.55,0,No,Credit card (automatic),No,No internet service,0,Two year,0
47,Loyal(3yr+),106.4,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
18,Standard(1-3yr),49.4,0,DSL,Electronic check,No,No,1,Month-to-month,1
60,Loyal(3yr+),115.25,0,Fiber optic,Credit card (automatic),No,Yes,6,Two year,0
72,Loyal(3yr+),24.8,0,No,Credit card (automatic),No,No internet service,0,Two year,0
39,Loyal(3yr+),19.9,0,No,Mailed check,No,No internet service,0,One year,0
59,Loyal(3yr+),81.25,0,Fiber optic,Credit card (automatic),Yes,No,2,One year,0
2,New(0-1yr),69.95,0,Fiber optic,Mailed check,No,No,0,Month-to-month,0
1,New(0-1yr),69.1,1,Fiber optic,Electronic check,No,No,0,Month-to-month,1
20,Standard(1-3yr),90.2,0,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
6,New(0-1yr),93.55,0,Fiber optic,Bank transfer (automatic),Yes,No,2,Month-to-month,1
71,Loyal(3yr+),86.4,0,Fiber optic,Credit card (automatic),Yes,Yes,2,Two year,0
24,Standard(1-3yr),66.3,0,DSL,Mailed check,No,No,3,Month-to-month,0
67,Loyal(3yr+),94.65,1,Fiber optic,Credit card (automatic),Yes,No,2,Month-to-month,0
1,New(0-1yr),80.85,0,Fiber optic,Mailed check,Yes,No,1,Month-to-month,1
48,Loyal(3yr+),82.05,0,Fiber optic,Mailed check,Yes,No,1,One year,1
37,Loyal(3yr+),72.1,0,DSL,Mailed check,No,Yes,3,One year,0
11,New(0-1yr),34.7,0,DSL,Mailed check,No,No,2,Month-to-month,0
3,New(0-1yr),20.55,0,No,Credit card (automatic),Yes,No internet service,0,Month-to-month,1
18,Standard(1-3yr),95.95,0,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
50,Loyal(3yr+),44.8,0,DSL,Bank transfer (automatic),Yes,No,0,One year,0
67,Loyal(3yr+),109.4,0,Fiber optic,Electronic check,Yes,Yes,5,One year,0
25,Standard(1-3yr),71.05,0,DSL,Mailed check,Yes,Yes,4,Month-to-month,0
2,New(0-1yr),78.55,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
9,New(0-1yr),19.7,0,No,Credit card (automatic),No,No internet service,0,Month-to-month,0
10,New(0-1yr),40.25,0,DSL,Mailed check,No,Yes,3,One year,0
70,Loyal(3yr+),19.85,0,No,Credit card (automatic),No,No internet service,0,Two year,0
9,New(0-1yr),68.25,0,DSL,Bank transfer (automatic),Yes,Yes,4,Month-to-month,0
4,New(0-1yr),20.15,0,No,Credit card (automatic),Yes,No internet service,0,Month-to-month,0
2,New(0-1yr),50.95,0,DSL,Mailed check,No,No,1,Month-to-month,0
1,New(0-1yr),78.65,0,Fiber optic,Electronic check,No,No,1,Month-to-month,1
19,Standard(1-3yr),25.15,0,DSL,Bank transfer (automatic),Yes,No,0,Month-to-month,0
7,New(0-1yr),20.25,0,No,Bank transfer (automatic),Yes,No internet service,0,Month-to-month,0
1,New(0-1yr),42.9,0,DSL,Electronic check,Yes,No,0,Month-to-month,1
1,New(0-1yr),44.0,1,DSL,Electronic check,No,No,0,Month-to-month,0
9,New(0-1yr),20.25,0,No,Mailed check,No,No internet service,0,One year,0
3,New(0-1yr),34.25,0,DSL,Mailed check,No,Yes,2,Month-to-month,1
9,New(0-1yr),58.5,0,DSL,Mailed check,No,Yes,5,Month-to-month,1
5,New(0-1yr),55.8,0,DSL,Credit card (automatic),No,No,2,Month-to-month,0
56,Loyal(3yr+),88.9,0,Fiber optic,Bank transfer (automatic),No,No,2,One year,0
18,Standard(1-3yr),57.65,0,DSL,Mailed check,No,No,1,Month-to-month,0
49,Loyal(3yr+),96.2,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,1
70,Loyal(3yr+),79.15,0,DSL,Mailed check,No,Yes,5,Two year,0
72,Loyal(3yr+),108.05,0,Fiber optic,Credit card (automatic),Yes,Yes,5,Two year,0
6,New(0-1yr),74.4,1,Fiber optic,Electronic check,No,No,1,Month-to-month,1
17,Standard(1-3yr),94.8,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
29,Standard(1-3yr),45.9,0,DSL,Electronic check,Yes,No,2,Month-to-month,0
6,New(0-1yr),105.3,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
63,Loyal(3yr+),102.6,0,Fiber optic,Electronic check,No,No,3,Two year,0
16,Standard(1-3yr),73.85,0,Fiber optic,Bank transfer (automatic),Yes,No,0,Month-to-month,1
59,Loyal(3yr+),61.35,0,DSL,Bank transfer (automatic),Yes,No,2,One year,0
3,New(0-1yr),57.55,0,DSL,Electronic check,No,No,2,Month-to-month,0
8,New(0-1yr),29.25,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
7,New(0-1yr),84.55,1,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
68,Loyal(3yr+),19.6,0,No,Credit card (automatic),No,No internet service,0,Two year,0
